Year,CSmall,CMedium,CLarge,MAverage,BMini,BUrban,BCoach,TPanel,TMedium,THeavy,RLight,RRegional,RNational,RHighSpeed,SRiver,SCoastal,SMaritime,PGeneral,PShort,PMedium,PLong,PSupersonic
2041,0.099,0.653,0.251,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2042,0.096,0.652,0.256,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2043,0.092,0.651,0.26,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2044,0.089,0.65,0.265,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2045,0.086,0.649,0.269,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2046,0.082,0.648,0.273,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2047,0.079,0.647,0.278,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2048,0.076,0.645,0.282,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2049,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2050,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2051,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2052,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2053,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2054,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2055,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2056,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2057,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2058,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2059,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2060,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2061,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2062,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2063,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2064,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2065,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2066,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2067,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2068,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2069,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2070,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2071,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2072,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2073,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2074,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2075,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2076,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2077,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2078,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2079,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2080,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2081,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2082,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2083,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2084,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2085,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2086,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2087,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2088,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2089,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2090,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2091,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2092,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2093,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2094,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2095,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2096,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2097,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2098,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2099,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2100,0.072,0.644,0.289,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
